Doc,NormalizedTF
D1545,0
D1550,0
D1553,0
D1558,0
D1561,0
D1573,0
D1574,0
D1577,0
D1580,0
D1584,0
D1594,0.086956522
D1595,0
D1606,0
D1608,0
D1611,0
D1638,0
D1640,0
D1643,0
D1650,0
D1653,0
D1655,0
D1659,0
D1664,0
D1665,0
D1667,0
D1669,0
D1670,0
D1672,0
D1675,0
D1677,0
D1678,0
D1679,0
D1680,0
D1681,0
D1683,0
D1684,0
D1688,0
D1691,0
D1703,0
D1714,0
D1716,0
D1719,0.076923077
D1720,0
D1723,0
D1733,0
D1734,0
D1743,0
D1744,0
D1747,0
D1750,0
D1756,0
D1757,0
D1759,0
D1761,0.074074074
D1764,0
D1766,0
D1767,0
D1772,0
D1778,0
D1779,0
D1781,0
D1783,0
D1785,0
D1794,0
D1801,0
D1804,0
D1806,0
D1822,0.018867925
D1827,0
D1829,0
D1831,0
D1833,0
D1834,0
D1836,0
D1839,0
D1841,0
D1843,0
D1844,0
D1847,0.076923077
D1859,0
D1864,0
D1868,0.063829787
D1871,0.066666667
D1881,0
D1883,0
D1885,0
D1888,0
D1890,0
D1892,0
D1896,0
D1902,0
D1907,0
D1909,0
D1912,0
D1914,0
D1915,0
D1918,0
D1922,0
D1926,0
D1929,0
D1931,0
D1935,0
D1939,0
D1942,0
D1947,0
D1950,0
D1951,0
D1956,0
D1957,0
D1959,0
D1964,0
D1965,0
D1966,0
D1970,0
D1976,0
D1980,0
D1985,0
D1986,0
D1987,0
D1997,0
D2000,0
D2004,0
D2007,0
D2010,0
D2011,0
D2015,0
D2019,0
D2021,0
D2029,0
D2031,0
D2033,0
D2034,0
D2036,0
D2037,0
D2042,0
D2054,0
D2064,0
D2067,0
D2069,0
D2072,0
D2076,0
D2084,0
D2091,0
D2092,0
D2096,0
D2101,0
D2106,0
D2107,0
D2109,0
D2112,0
D2116,0
D2117,0
D2118,0.00462963
D2119,0
D2120,0
D2123,0
D2131,0
D2139,0
D2140,0
D2153,0
D2155,0
D2160,0
D2171,0
D2175,0
D2181,0
D2184,0
D2188,0
D2198,0
D2199,0
D2201,0
D2205,0
D2213,0
D2218,0
D2225,0
D2232,0
D2234,0
D2237,0
D2239,0.047619048
D2244,0
D2247,0
D2248,0
D2256,0
D2259,0
D2264,0
D2265,0
D2266,0
D2269,0
D2276,0
D2278,0
D2279,0
D2287,0
D2288,0
D2291,0
D2292,0
D2294,0
D2300,0
D2304,0
D2314,0
D2318,0
D2319,0
D2320,0
D2322,0
D2329,0.03125
D2336,0
D2339,0
D2344,0
D2358,0
D2364,0
D2365,0
D2367,0
D2370,0
D2371,0
D2377,0
D2379,0
D2390,0
D2392,0
D2398,0
D2401,0
D2402,0
D2405,0
D2410,0
D2422,0
D2431,0
D2434,0
D2436,0
D2446,0.011235955
D2453,0
D2454,0
D2467,0
D2477,0
D2486,0
D2490,0
D2493,0.048780488
D2497,0
D2508,0
D2509,0
D2512,0
D2514,0
D2520,0
D2523,0
D2524,0
D2529,0
D2530,0
D2531,0
D2534,0
D2543,0
D2550,0
D2557,0
D2559,0
D2561,0
D2569,0
D2572,0
D2575,0
D2577,0
D2583,0
D2588,0
D2591,0
D2594,0
D2601,0
D2604,0
D2606,0
D2607,0
D2608,0.04
D2617,0
D2619,0.043478261
D2621,0.111111111
D2623,0
D2628,0.041666667
D2631,0
D2634,0.066666667
D2635,0.148148148
D2637,0
D2638,0
D2639,0
D2646,0.078431373
D2649,0.028571429
D2650,0.055555556
D2654,0
D2656,0
D2658,0
D2659,0
D2660,0.037735849
D2662,0.153846154
D2664,0.070175439
D2666,0.125
D2670,0
D2676,0.069767442
D2677,0.071428571
D2680,0
D2681,0.090909091
D2685,0
D2688,0.034482759
D2694,0
D2703,0
D2704,0
D2705,0.121212121
D2706,0.018518519
D2708,0
D2709,0.1
D2711,0
D2712,0
D2713,0
D2715,0
D2716,0
D2717,0
D2719,0.12
D2720,0
D2723,0
D2726,0.096774194
D2732,0
D2739,0.05
D2740,0
D2741,0
D2742,0.05
D2744,0
D2745,0
D2749,0
D2750,0
D2753,0.076923077
D2756,0
D2757,0
D2760,0
D2761,0
D2762,0.090909091
D2765,0
D2769,0
D2771,0
D2777,0
D2779,0
D2783,0
D2789,0
D2790,0.081632653
D2792,0
D2793,0
D2795,0
D2796,0
D2798,0.024390244
D2801,0
D2804,0
D2806,0
D2808,0.1
D2810,0.076923077
D2811,0
D2813,0.1
D2815,0.142857143
D2816,0
D2823,0
D2825,0.083333333
D2827,0.018181818
D2832,0
D2840,0
