Doc,TF
D494,2
D495,1
D496,2
D497,0
D498,5
D499,0
D500,0
D501,0
D502,1
D503,0
D504,1
D505,2
D506,2
D507,0
D508,0
D509,0
D510,0
D512,0
D514,0
D518,0
D519,0
D520,0
D522,1
D524,0
D525,0
D528,0
D529,1
D530,8
D531,2
D534,0
D543,2
D545,4
D546,0
D547,1
D548,1
D549,4
D550,1
D551,2
D553,0
D554,5
D555,7
D557,3
D561,0
D562,0
D563,1
D567,0
D572,0
D574,0
D575,0
D576,1
D577,0
D578,0
D582,0
D584,0
D585,2
D586,1
D587,1
D588,2
D589,1
D590,2
D591,1
D592,1
D596,0
D597,2
D599,0
D601,1
D602,2
D608,1
D609,1
D610,0
D612,1
D619,0
D621,1
D622,1
D623,1
D625,2
D626,0
D627,6
D632,3
D635,1
D636,3
D639,0
D651,0
D654,1
D655,2
D656,1
D659,0
D660,2
D666,1
D670,1
D671,0
D672,1
D673,2
D674,0
D675,2
D678,0
D683,0
D685,3
D686,1
D687,3
D688,4
D693,0
D694,0
D696,0
D703,0
D715,0
D720,0
D722,0
D725,0
D726,0
D732,0
D735,0
D737,0
D741,0
D748,0
D759,0
D760,0
D761,0
D767,0
D768,0
D771,0
D775,0
D778,0
D781,0
D782,0
D790,0
D791,0
D794,0
D796,0
D799,0
D804,0
D806,0
D812,0
D818,0
D826,0
D837,0
D838,0
D839,0
D840,0
D842,0
D846,0
D850,0
D858,0
D859,0
D864,0
D872,0
D874,0
D879,0
D889,0
D891,0
D893,0
D894,0
D904,0
D905,0
D906,0
D915,0
D916,0
D919,0
D928,0
D932,0
D947,0
D955,0
D956,0
D957,0
D971,0
D977,0
D984,0
D991,0
D998,0
D1000,0
D1001,0
D1004,0
D1013,0
D1019,0
D1020,0
D1023,0
D1033,0
D1038,0
D1039,0
D1040,0
D1042,0
D1054,0
D1056,0
D1058,0
D1061,0
D1064,0
D1068,0
D1069,0
D1085,0
D1088,0
D1095,0
D1096,0
D1097,0
D1099,0
D1105,0
D1108,0
D1109,0
D1110,0
D1114,0
D1115,0
D1117,0
D1118,0
D1120,0
D1123,0
D1127,0
D1128,0
D1136,0
D1148,0
D1151,0
D1160,0
D1161,0
D1166,0
D1172,0
D1174,0
D1177,0
D1184,0
D1187,0
D1190,0
D1192,0
D1199,0
D1209,0
D1220,0
D1223,0
D1226,0
D1227,0
D1235,0
D1238,0
D1241,0
D1243,0
D1258,0
D1260,0
D1264,0
D1266,0
D1273,0
D1276,0
D1278,0
D1280,0
D1288,0
D1290,1
D1292,0
D1294,0
D1300,0
D1302,0
D1305,0
D1308,0
D1311,0
D1314,0
D1317,0
D1324,0
D1329,0
D1331,0
D1332,0
D1335,0
D1337,0
D1340,0
D1345,0
D1346,0
D1348,0
D1355,0
D1359,0
D1366,0
D1369,0
D1370,0
D1387,0
D1396,0
D1397,0
D1399,0
D1401,0
D1405,0
D1407,0
D1411,0
D1422,0
D1426,0
D1433,0
D1436,0
D1438,0
D1439,0
D1442,0
D1446,0
D1456,0
D1460,0
D1462,0
D1467,0
D1470,0
D1475,0
D1485,0
D1491,0
D1493,0
D1495,0
D1497,0
D1503,0
D1505,0
D1511,0
D1512,0
D1514,0
D1515,0
D1517,0
D1519,0
D1520,0
D1522,0
D1526,0
D1528,0
D1531,0
D1533,0
D1536,0
D1537,0
D1539,0
D1541,0
D1545,0
D1550,0
D1553,0
D1558,0
D1561,0
