title,Length,Uppercase(num),Exclamation/Question(num),SpellMiss(num),FirstPronouns(num),SecondPronouns(num),ThirdPronouns(num),BadWord(num),Emot(num),EmotMean(score),SentiPos(num),SentiNeg(num),Senti(score),FRE,SMOG,CLI,ARI,FOG,FKGL
D49,23,1,3,5,1,2,1,1,0,0,1,3,-0.270833333,80.49869565,3,5.153968043,7.886086957,9.2,7.745217391
D50,9,4,8,6,0,0,0,0,0,0,0,0,0,169.5,3,3.124490889,0.863333333,3.6,-8.146666667
D51,14,0,2,4,1,1,1,0,0,0,1,3,-0.53125,108.025,3,0.985339929,0.709285714,5.6,1.67
D52,21,2,3,6,2,1,0,0,1,-1.25,1,1,0.033333333,96.89142857,8.477225575,3.229759952,5.442857143,10.3047619,4.961904762
D53,23,0,2,6,0,1,0,0,0,0,1,3,-0.005060729,87.85521739,8.477225575,4.131385261,7.066956522,10.93913043,6.719130435
D54,21,2,3,4,0,1,0,0,1,0.25,1,1,0,84.80571429,10.74596669,5.189710286,7.012857143,12.20952381,6.647619048
D55,13,1,3,2,0,2,0,0,1,-0.525,1,1,-0.025,115.5476923,3,0.015100615,-0.437692308,5.2,0.372307692
D56,31,2,5,6,1,0,2,0,1,0.25,4,3,0.625,71.66677419,12.48683298,3.919082419,10.63096774,16.27096774,10.96451613
D57,28,1,6,10,1,0,2,1,0,0,6,2,1.719298246,105.9007143,8.477225575,2.252023179,7.8775,12.62857143,5.444285714
D58,11,0,1,4,1,0,0,0,0,0,2,0,0.5625,103.3790909,3,1.821655818,0.340909091,4.4,1.572727273
D59,8,0,3,2,0,0,0,0,0,0,1,0,0.875,124.69,3,-1.859661,-3.3,3.2,-2.145
D60,26,0,4,11,2,1,1,0,0,0,0,0,0,108.8603846,8.477225575,1.153072923,6.062307692,11.93846154,4.534615385
D61,34,1,9,11,2,0,0,0,0,0,3,2,0.05,65.33088235,3,5.119017941,13.02470588,13.6,12.59352941
D62,31,3,8,10,1,1,0,0,0,0,7,1,2.285416667,90.77,8.477225575,4.298427645,10.93483871,13.69032258,8.3
D63,12,0,2,2,0,1,0,1,0,0,0,1,-0.25,131.205,3,-1.606832833,-2.085,4.8,-2.06
D64,18,0,13,10,0,0,0,0,0,0,0,0,0,52.265,13.95445115,11.62805483,10.85833333,16.08888889,10.44111111
D65,13,0,13,4,0,1,0,0,0,0,1,0,0.677631579,128.5630769,3,3.181174231,2.098461538,5.2,-1.443076923
D66,17,0,16,8,0,0,0,0,0,0,0,0,0,104.98,3,4.940551,5.078823529,6.8,2.84
D67,7,1,3,4,0,0,0,0,1,0.25,0,1,-0.125,163.4728571,3,-6.587898857,-7.164285714,2.8,-7.802857143
D68,23,0,5,4,2,1,0,0,0,0,2,0,0.916666667,98.89,8.477225575,2.597511087,5.83826087,10.93913043,5.18
D69,24,0,7,1,0,2,0,2,0,0,2,0,0.3375,101.4,3,1.09593325,5.0925,9.6,5.078333333
D70,20,0,2,4,0,2,0,0,0,0,3,1,1.2,72.325,10.74596669,10.06113915,10.4715,12,8.14
D71,14,0,2,4,1,1,0,0,0,0,0,1,-0.125,101.9821429,3,5.605222857,4.41,5.6,2.512857143
D72,20,0,4,6,1,1,1,0,0,0,3,0,0.78125,89.245,8.477225575,3.2993105,5.055,10,5.78
D73,18,2,4,9,2,0,0,0,1,-0.375,2,2,0.8125,113.365,3,-1.111622333,0.653333333,7.2,1.918888889
D74,10,0,4,3,1,0,0,0,0,0,1,0,0.59375,120.545,8.477225575,4.1718869,1.939,8,-1.07
D75,42,2,5,5,3,0,0,0,0,0,6,3,0.766666667,59.46214286,13.95445115,5.474179976,17.17642857,20.60952381,15.39952381
D76,21,0,2,7,2,0,0,0,0,0,2,2,0.333333333,100.92,8.477225575,2.669774143,4.994285714,10.3047619,4.4
D77,37,0,9,8,4,2,0,0,0,0,4,1,1.1875,70.96108108,8.477225575,3.104986378,12.85486486,15.88108108,12.55351351
D78,22,11,11,12,0,2,1,0,0,0,2,1,-0.375,142.205,8.477225575,2.632000273,5.412727273,10.61818182,-1.11
D79,43,0,7,10,3,1,4,1,0,0,10,1,2.177083333,74.65511628,8.477225575,4.158968581,16.60976744,18.13023256,13.52883721
D80,21,0,2,4,0,2,1,0,0,0,5,1,0.145833333,108.9771429,3,1.829795429,4.321428571,8.4,3.276190476
D81,20,0,1,2,0,2,0,0,0,0,1,3,-0.375,106.165,3,3.59330305,5.2905,8,3.42
D82,24,2,2,6,0,1,1,0,0,0,1,0,0.125,97.875,8.477225575,5.260827708,8.42875,11.26666667,5.57
D83,28,3,4,8,1,1,1,0,1,0.25,2,2,-0.375,93.815,3,2.672012536,8.213928571,11.2,7.13
D84,18,0,2,2,0,2,0,0,0,0,2,0,0.71875,89.865,10.74596669,6.401520611,6.671666667,11.64444444,5.196666667
D85,26,0,3,8,1,3,1,0,0,0,4,1,-0.020833333,95.845,3,4.545294654,8.779615385,10.4,6.35
D86,20,0,3,7,0,1,1,0,0,0,1,1,-0.041666667,80.785,8.477225575,5.35725835,6.7035,10,6.96
D87,28,0,3,5,0,2,1,0,0,0,2,1,0.025,84.75071429,3,4.351969964,9.559642857,11.2,8.394285714
D88,54,0,2,4,2,3,5,0,0,0,4,6,-1.645833333,62.725,8.477225575,2.597469963,20.74666667,22.34074074,17.92555556
