Doc,Length,Uppercase(num),Exclamation/Question(num),SpellMiss(num),FirstPronouns(num),SecondPronouns(num),ThirdPronouns(num),BadWord(num),Emot(num),EmotMean(score),SentiPos(num),SentiNeg(num),Senti(score),FRE,SMOG,CLI,ARI,FOG,FKGL
D1956,105,0,2,12,6,0,2,0,0,0,22,9,1.987703634,-19.79142857,17.49137675,9.396766714,51.48,44.66666667,42.1047619
D1957,92,1,1,8,9,0,0,0,1,0.4375,14,4,3.279761905,17.82021739,16.41640786,4.520985054,41.10619565,39.40869565,33.62913043
D1959,20,0,1,3,0,1,0,0,0,0,1,3,-0.320833333,85.015,12.48683298,6.8272211,7.881,14,6.37
D1964,19,0,2,4,1,2,0,0,1,0.4375,1,1,0.196428571,94.04473684,8.477225575,2.757250474,4.183157895,9.705263158,4.862105263
D1965,51,0,3,6,4,3,0,0,0,0,3,7,-0.390178571,48.90529412,10.74596669,4.602050941,20.87823529,21.96862745,19.10784314
D1966,28,0,2,2,1,4,0,0,0,0,7,0,2.04375,90.79357143,8.477225575,5.401943357,10.40071429,12.62857143,7.551428571
D1970,11,0,1,2,0,1,0,0,1,0.4375,0,2,-0.116666667,111.07,3,1.821655818,0.340909091,4.4,0.5
D1976,20,0,1,5,0,0,0,0,1,0.4375,3,0,0.500875,76.555,3,5.0632658,6.468,8,7.55
D1980,16,0,2,6,1,1,1,0,0,0,1,0,0.125,127.145,3,0.724525375,1.28875,6.4,-0.5
D1985,39,0,1,5,2,2,0,0,0,0,5,0,1.8,45.77307692,16.41640786,7.864544256,17.63461538,21.75384615,16.56358974
D1986,12,0,1,3,0,1,0,0,0,0,2,1,-0.0625,117.105,8.477225575,2.803055417,1.4475,8.133333333,-0.093333333
D1987,10,1,1,3,0,1,0,0,1,-0.525,1,0,0.0625,120.545,8.477225575,0.6439763,-0.887,8,-1.07
D1997,21,0,1,3,0,1,0,0,1,0.4375,2,0,0.508928571,76.74857143,8.477225575,6.869667714,8.358571429,10.3047619,7.771428571
D2000,29,0,1,5,2,2,2,0,0,0,7,1,1.522916667,89.88275862,3,3.251539759,9.148965517,11.6,7.926896552
D2004,67,1,2,9,4,1,1,0,0,0,12,6,0.854166667,28.97626866,13.95445115,7.101480866,30.76940299,29.1880597,25.86238806
D2007,23,0,1,3,1,1,0,0,0,0,4,1,-0.059803922,106.2465217,3,1.830574,5.223913043,9.2,4.153913043
D2010,15,0,1,3,0,3,0,0,0,0,1,0,0.2,112.65,3,-0.133736333,0.2,6,1.273333333
D2011,17,0,1,3,0,1,1,0,0,0,1,1,-0.25,100.0035294,8.477225575,2.173562294,2.862352941,9.152941176,3.534117647
D2015,16,0,1,2,0,1,0,0,1,0.4375,2,1,0.005952381,116.57,3,-1.847909437,-0.771875,6.4,0.975
D2019,10,0,1,2,0,1,0,0,0,0,1,0,0,129.005,3,1.2319614,-0.416,4,-2.25
D2021,59,0,2,9,2,2,3,0,0,0,6,2,0.979166667,52.31271186,12.48683298,6.918145203,26.67050847,25.63389831,20.62
D2029,50,0,2,7,4,3,2,0,0,0,6,4,1.104166667,46.105,13.95445115,8.18522758,23.2578,23.2,19.25
D2031,34,0,2,4,2,1,1,0,0,0,3,3,0.392857143,70.30735294,8.477225575,4.946081147,12.88617647,14.77647059,11.89941176
D2033,12,0,2,2,0,1,0,0,0,0,1,2,-0.333333333,131.205,3,-2.096820417,-2.4775,4.8,-2.06
D2034,17,0,1,2,1,1,1,0,1,0.4375,1,1,0.166666667,90.05058824,10.74596669,4.594677412,4.801764706,11.50588235,4.922352941
D2036,17,0,1,1,1,1,0,0,2,-0.6,3,0,0.760416667,70.14470588,10.74596669,15.31675865,13.39058824,11.50588235,7.698823529
D2037,25,0,1,4,3,2,0,0,0,0,7,0,2.285964912,93.476,8.477225575,3.94797436,7.8376,11.6,6.432
D2042,49,0,1,5,0,1,0,0,0,0,7,0,2.109375,46.60204082,10.74596669,6.874784041,21.7177551,21.23265306,18.9322449
D2054,19,0,1,3,1,1,1,0,0,0,3,1,1.325,98.49736842,8.477225575,2.138318789,3.687368421,9.705263158,4.241052632
D2064,23,0,1,5,0,1,0,0,0,0,2,2,0.46875,84.17695652,3,2.597511087,5.83826087,9.2,7.232173913
D2067,17,0,1,1,0,1,2,0,0,0,5,0,0.490064103,95.02705882,3,5.632298176,5.632941176,6.8,4.228235294
D2069,36,0,1,2,4,2,1,0,0,0,6,3,0.645833333,55.145,12.48683298,6.896731111,15.41,17.73333333,14.51111111
D2072,17,0,2,5,3,1,0,0,0,0,4,1,0.1875,114.9329412,3,-1.285173588,0.091764706,6.8,1.451764706
D2076,16,0,2,3,1,1,0,0,0,0,2,1,-0.0625,100.7075,3,2.561978813,2.760625,6.4,3.1875
D2084,20,0,1,3,1,1,0,0,0,0,1,2,-0.175,89.245,8.477225575,5.0632658,6.468,10,5.78
D2091,19,0,1,3,2,2,0,0,0,0,3,0,1.3125,94.04473684,8.477225575,4.614045526,5.670526316,9.705263158,4.862105263
D2092,14,0,1,2,0,1,0,0,0,0,1,2,-0.25,83.85357143,8.477225575,6.445201571,5.082857143,8.457142857,5.041428571
D2096,34,0,2,3,1,1,0,0,0,0,6,5,0.5625,72.79558824,8.477225575,4.254333971,12.33205882,14.77647059,11.55235294
D2101,17,1,2,3,0,2,0,0,0,0,2,1,0.7,124.8858824,3,5.286424588,5.355882353,6.8,0.063529412
D2106,23,0,1,3,1,2,0,0,1,0.4375,3,2,0.740178571,102.5682609,3,2.853156783,6.043043478,9.2,4.666956522
D2107,155,0,1,13,15,1,4,0,0,0,17,14,-0.197321429,-53.64741935,20.32050808,5.858595329,73.57296774,64.58064516,59.2483871
D2109,28,0,2,4,3,1,0,0,0,0,3,1,0.5625,75.68642857,8.477225575,4.561964643,9.727857143,12.62857143,9.658571429
D2112,16,0,1,3,0,1,0,0,0,0,1,2,-0.053571429,105.995,3,1.45950675,1.8775,6.4,2.45
D2116,33,1,2,5,3,1,1,0,0,0,3,2,0.03125,70.79454545,12.48683298,6.109306545,13.33909091,16.83636364,11.5830303
D2117,21,0,1,5,0,1,0,0,0,0,1,3,-0.6875,56.60571429,12.48683298,10.50957548,11.27428571,14.11428571,10.58095238
D2118,216,0,4,22,23,2,8,1,0,0,27,18,0.319595865,-115.4133333,16.41640786,6.302209829,104.3851389,87.51111111,83.01759259
D2119,28,0,1,6,1,1,0,0,0,0,4,5,-0.795833333,84.75071429,8.477225575,6.031927393,10.90535714,12.62857143,8.394285714
D2120,15,0,1,3,0,1,0,0,0,0,1,0,0.125,90.09,8.477225575,3.394174267,3.026,8.666666667,4.42
D2123,13,0,1,3,0,1,0,0,0,0,4,0,1.74702381,122.0553846,8.477225575,0.467396846,-0.075384615,8.276923077,-0.535384615
D2131,44,0,1,5,0,1,1,0,1,-0.375,6,3,1.4375,64.11590909,12.48683298,5.977098,18.55363636,20.32727273,15.24727273
D2139,47,1,3,9,1,1,0,0,1,0.4375,4,7,0.28125,63.73,10.74596669,4.336812723,18.70531915,20.50212766,16.04638298
D2140,74,0,1,9,3,1,0,0,0,0,13,4,2.607291667,20.83040541,13.95445115,7.000942108,34.15540541,31.76216216,28.73756757
D2153,13,0,2,3,0,1,0,0,0,0,1,2,0.021428571,109.04,8.477225575,4.538062923,3.185384615,8.276923077,1.28
D2155,16,0,1,2,0,1,1,0,0,0,3,0,0.632326007,105.995,3,2.194488125,2.46625,6.4,2.45
D2160,19,0,1,2,0,1,0,0,0,0,4,0,1.275,85.13947368,8.477225575,3.376182158,4.678947368,9.705263158,6.104210526
D2171,13,0,1,2,1,1,0,0,0,0,1,0,0.68452381,109.04,8.477225575,2.728878,1.736153846,8.276923077,1.28
D2175,12,0,1,3,0,1,0,0,0,0,2,0,0.75,117.105,8.477225575,-0.626857667,-1.3,8.133333333,-0.093333333
D2181,8,0,1,3,0,1,0,0,0,0,1,1,-0.375,114.115,3,1.0802645,-0.945,3.2,-0.67
D2184,11,0,1,2,0,0,0,0,0,0,3,1,0.625,118.7609091,3,-0.316471818,-1.371818182,4.4,-0.572727273
D2188,29,0,1,3,1,2,0,0,1,0.4375,5,1,1.801136364,72.37931034,10.74596669,5.684581552,11.09793103,14.35862069,10.36827586
D2198,15,0,1,3,0,1,0,0,0,0,0,3,-0.55,129.57,3,0.6502438,0.828,6,-1.086666667
D2199,39,0,2,4,2,2,0,0,0,0,5,4,0.223958333,65.29615385,10.74596669,5.452297692,15.70230769,17.65128205,13.84051282
D2201,15,0,1,2,0,1,0,0,0,0,1,2,-0.053571429,101.37,3,4.1781544,3.654,6,2.846666667
D2205,12,0,8,3,0,1,0,0,0,0,2,0,0.25,131.205,3,-1.606832833,-2.085,4.8,-2.06
D2213,39,0,1,4,0,1,3,0,1,0.4375,5,2,1.020833333,43.60384615,8.477225575,8.015309667,17.75538462,16.62564103,16.86615385
D2218,9,0,1,2,0,1,0,0,0,0,1,1,0.064153846,84.9,10.74596669,7.697708333,4.526666667,12.48888889,3.653333333
D2225,17,1,1,2,1,0,0,0,0,0,2,1,0.354166667,114.9329412,3,2.865309471,3.416470588,6.8,1.451764706
D2232,32,0,1,4,0,2,1,0,0,0,3,1,0.191666667,76.53625,3,3.119090625,10.46625,12.8,10.53375
D2234,27,0,2,2,0,3,2,0,0,0,2,1,-0.208333333,97.96333333,3,0.960696074,6.374444444,10.8,6.302962963
D2237,20,0,1,2,0,4,0,0,1,0.4375,1,1,-0.027777778,101.935,3,5.0632658,6.468,8,4.01
D2239,42,0,3,3,0,4,0,2,1,0.4375,4,3,-0.428571429,63.49071429,3,5.334183524,17.06428571,16.8,14.83761905
D2244,12,0,1,3,0,1,0,0,0,0,3,0,0.9625,95.955,8.477225575,2.803055417,1.4475,8.133333333,2.856666667
D2247,17,0,1,2,0,2,1,0,2,0.3125,1,2,-0.180555556,95.02705882,8.477225575,3.902930235,4.247647059,9.152941176,4.228235294
D2248,15,1,1,4,0,1,0,0,1,0.4375,1,1,0.40625,112.65,3,1.434223933,1.456,6,1.273333333
D2256,15,0,1,2,0,1,0,0,0,0,0,4,-0.875,112.65,3,0.6502438,0.828,6,1.273333333
D2259,22,0,1,5,0,1,0,0,0,0,4,0,1.5,88.36863636,10.74596669,6.106457682,8.195909091,12.43636364,6.399090909
D2264,12,1,1,3,0,0,0,0,0,0,3,0,1.380952381,117.105,8.477225575,3.293043,1.84,8.133333333,-0.093333333
D2265,15,0,1,1,0,1,0,0,1,0.4375,2,1,0.75952381,90.09,8.477225575,2.610194133,2.398,8.666666667,4.42
D2266,15,0,1,1,0,1,0,0,1,0.4375,4,0,1.148065476,118.29,3,0.258253733,0.514,6,0.486666667
D2269,34,0,1,5,4,2,2,0,1,0.4375,5,2,1.34375,97.67794118,3,2.870839618,11.22382353,13.6,8.081764706
D2276,17,0,2,3,1,3,0,0,0,0,2,2,0.41875,114.9329412,3,0.790067941,1.754117647,6.8,1.451764706
D2278,18,1,1,5,0,1,0,0,0,0,1,0,0.2,118.065,3,5.094887056,5.625,7.2,1.263333333
D2279,52,0,1,6,4,1,1,0,0,0,5,4,-0.036458333,59.69346154,13.95445115,2.852799654,19.96807692,23.87692308,17.85153846
D2287,13,0,1,3,0,2,0,0,0,0,2,1,0.166666667,115.5476923,8.477225575,2.728878,1.736153846,8.276923077,0.372307692
D2288,11,0,1,2,0,1,0,0,0,0,4,0,1.70327381,126.4518182,3,-0.316471818,-1.371818182,4.4,-1.645454545
D2291,22,0,1,5,1,1,0,0,1,0.4375,1,1,0.020833333,72.98681818,12.48683298,5.037393864,7.339545455,14.25454545,8.544545455
D2292,17,6,6,8,1,1,0,0,0,0,1,1,0.25,159.7211765,3,-5.435656647,-3.232941176,6.8,-4.795294118
D2294,12,0,1,4,0,1,0,0,0,0,1,0,0.1875,95.955,10.74596669,6.722956083,4.5875,11.46666667,2.856666667
D2300,16,0,1,4,0,1,2,0,0,0,2,2,0.8125,84.845,10.74596669,5.501904313,5.115625,11.4,5.4
D2304,22,0,1,3,2,1,1,0,0,0,3,0,0.990131579,99.905,10.74596669,3.166532182,5.840909091,12.43636364,4.79
D2314,16,0,1,4,0,1,1,0,0,0,4,0,0.109375,105.995,3,1.826997438,2.171875,6.4,2.45
D2318,15,0,1,2,0,1,0,0,0,0,2,1,0.125,112.65,3,1.826214,1.77,6,1.273333333
D2319,62,0,3,7,1,2,6,0,0,0,10,13,-1.790041667,29.28564516,18.49193338,8.853603016,29.70145161,29.96129032,24.57709677
D2320,14,0,1,2,1,1,0,0,0,0,1,3,-0.695833333,101.9821429,8.477225575,4.345254786,3.400714286,8.457142857,2.512857143
D2322,13,0,1,2,0,1,0,0,0,0,1,3,-0.8125,96.02461538,8.477225575,7.251840308,5.359230769,8.276923077,3.095384615
D2329,32,0,3,5,3,1,0,1,0,0,7,0,2.630958333,68.605,12.48683298,5.32403475,12.2325,16.55,11.64
D2336,38,0,3,7,2,1,1,0,0,0,7,6,1.841322055,74.75973684,10.74596669,4.773726474,14.67473684,17.30526316,12.27210526
D2339,13,0,1,2,1,1,0,0,0,0,4,0,0.5625,89.51692308,10.74596669,8.156432769,6.083846154,11.35384615,4.003076923
D2344,17,0,1,4,0,1,0,0,0,0,0,3,-0.5375,109.9564706,3,2.865309471,3.416470588,6.8,2.145882353
D2358,35,0,1,6,1,1,1,0,0,0,3,2,0.371875,101.2128571,3,2.169368343,11.142,14,7.837142857
D2364,24,0,1,4,0,1,1,0,0,0,2,1,0.575,108.45,3,0.850939458,4.89625,9.6,4.095
D2365,23,0,2,3,1,1,0,0,0,0,2,2,0.45,98.89,3,2.086219696,5.428695652,9.2,5.18
D2367,14,0,1,2,0,1,1,0,0,0,1,1,0.45,120.1107143,3,0.565350571,0.372857143,5.6,-0.015714286
D2370,23,0,2,3,1,2,0,0,0,0,1,1,0.020833333,76.82043478,10.74596669,5.665259435,8.295652174,12.67826087,8.25826087
D2371,42,0,1,4,1,3,2,0,0,0,4,4,-0.2,51.405,12.48683298,4.774197714,16.61571429,19.65714286,16.52333333
D2377,37,0,4,4,2,4,0,0,0,0,2,3,-0.7,75.53405405,8.477225575,2.946071486,12.72756757,15.88108108,11.91567568
D2379,15,0,1,3,0,1,0,0,0,0,2,2,0.775,123.93,3,2.218204067,2.084,6,-0.3
D2390,11,0,1,3,0,1,0,0,0,0,1,0,0.625,103.3790909,8.477225575,3.959783455,2.053636364,8.036363636,1.572727273
D2392,19,0,1,3,0,1,1,0,0,0,2,2,-0.072916667,71.78157895,12.48683298,4.923511368,5.918421053,13.91578947,7.967368421
D2398,15,0,1,3,0,1,0,0,0,0,1,1,0.09375,78.81,10.74596669,8.8820352,7.422,11.33333333,5.993333333
D2401,14,0,1,1,0,1,0,0,0,0,4,1,1.6875,83.85357143,10.74596669,6.865190929,5.419285714,11.31428571,5.041428571
D2402,18,0,0,4,0,3,0,0,0,0,2,0,0.625,80.465,12.48683298,7.708154167,7.718333333,13.86666667,6.507777778
D2405,34,0,4,3,0,2,0,0,0,0,3,1,0.458333333,67.81911765,10.74596669,6.3295755,13.99441176,15.95294118,12.24647059
D2410,20,0,2,9,0,0,0,0,0,0,1,1,0,63.865,12.48683298,9.1791615,9.765,14,9.32
D2422,9,0,1,2,1,1,0,0,0,0,1,1,0.0625,131.9,3,-0.795409778,-2.276666667,3.6,-2.902222222
D2431,10,0,2,3,0,0,0,0,0,0,1,0,0.695,86.705,8.477225575,5.9358422,3.352,8,3.65
D2434,15,0,1,2,1,2,0,0,0,0,2,0,0.125,107.01,8.477225575,0.258253733,0.514,8.666666667,2.06
D2436,26,0,1,4,1,1,0,0,1,0.4375,2,0,0.041666667,82.82961538,8.477225575,8.842108846,12.22153846,11.93846154,8.165384615
D2446,89,0,6,7,7,2,9,1,0,0,14,1,2.352083333,18.59213483,13.95445115,4.082871573,39.26393258,37.39775281,32.77617978
D2453,72,0,4,6,2,1,7,0,0,0,7,2,1.427083333,19.78,15.24744871,7.307665556,33.41,31.57777778,28.38722222
D2454,79,0,1,4,1,4,6,0,0,0,10,3,1.385964912,32.41202532,12.48683298,7.567362949,37.08886076,33.11898734,28.3643038
D2467,20,0,1,2,1,1,0,0,0,0,2,1,0.260416667,97.705,3,1.5353552,3.642,8,4.6
D2477,49,0,3,4,3,0,3,0,0,0,4,6,-0.072916667,44.8755102,12.48683298,6.394796204,21.33326531,22.04897959,19.17306122
D2486,28,0,2,6,1,2,0,0,0,0,4,1,0.25,60.57928571,10.74596669,7.501890143,12.08285714,14.05714286,11.76571429
D2490,22,0,1,3,1,2,0,0,0,0,2,6,-1.064583333,96.05954545,3,3.968330045,6.483181818,8.8,5.326363636
D2493,41,1,2,7,3,1,0,2,0,0,5,4,0.227678571,47.60536585,16.41640786,8.431069024,19.05878049,22.25365854,16.80487805
D2497,20,0,1,2,1,1,1,0,0,0,6,0,1.581845238,89.245,8.477225575,3.59330305,5.2905,10,5.78
D2508,39,0,2,4,1,3,0,0,0,0,5,3,0.183035714,78.31153846,8.477225575,3.040051128,13.77,16.62564103,12.02512821
D2509,22,0,1,2,1,1,1,0,0,0,3,1,0.499559524,88.36863636,10.74596669,3.166532182,5.840909091,12.43636364,6.399090909
D2512,17,0,1,5,1,1,0,0,0,0,3,1,0.3125,100.0035294,10.74596669,3.211183059,3.693529412,11.50588235,3.534117647
D2514,16,0,1,3,2,1,1,0,0,0,0,0,0,116.57,3,-0.745437375,0.11125,6.4,0.975
D2520,13,0,1,2,0,2,0,0,0,0,0,2,-0.616666667,122.0553846,3,0.467396846,-0.075384615,5.2,-0.535384615
D2523,23,0,1,3,2,1,0,0,0,0,3,2,-0.140625,69.46391304,8.477225575,6.176550826,8.705217391,10.93913043,9.284347826
D2524,14,0,1,2,1,1,0,0,0,0,0,1,-0.25,89.89642857,8.477225575,3.085286714,2.391428571,8.457142857,4.198571429
D2529,20,0,6,4,1,1,1,0,1,0.4375,5,1,1.739583333,97.705,3,4.76927325,6.2325,8,4.6
D2530,13,0,2,3,1,1,0,0,0,0,3,0,0.421875,128.5630769,3,0.015100615,-0.437692308,5.2,-1.443076923
D2531,27,0,5,3,3,2,0,0,0,0,6,1,1.196875,94.83,3,3.356190926,8.293333333,10.8,6.74
D2534,22,0,1,3,1,3,0,0,0,0,4,2,0.368458333,96.05954545,8.477225575,3.166532182,5.840909091,10.61818182,5.326363636
D2543,25,0,3,3,0,1,0,0,1,0.4375,4,6,-0.574404762,96.86,3,3.24239224,7.2724,10,5.96
D2550,36,0,1,7,2,1,1,0,0,0,5,3,-0.020833333,55.145,12.48683298,8.040035472,16.32583333,17.73333333,14.51111111
D2557,108,0,3,5,8,7,4,0,0,0,16,5,2.333333333,7.131666667,13.95445115,5.375807241,49.75277778,44.68148148,39.09481481
D2559,14,0,1,3,0,1,0,0,0,0,0,0,0,89.89642857,3,1.825318643,1.382142857,5.6,4.198571429
D2561,28,0,1,7,0,2,2,0,1,0.4375,2,3,0,93.815,3,3.51199125,8.886785714,11.2,7.13
D2569,45,1,1,11,2,3,0,0,1,0.4375,8,1,1.523065476,63.4,8.477225575,4.317174422,17.712,18.88888889,15.59555556
D2572,31,0,1,3,1,4,0,0,0,0,2,2,-0.016666667,93.49903226,3,3.350064581,10.17516129,12.4,7.919354839
D2575,25,0,0,4,0,2,0,0,0,0,2,1,0.4375,49.484,13.95445115,9.35743728,12.1708,16.4,12.568
D2577,40,0,2,6,0,3,3,0,0,0,5,0,0.206730769,66.83,8.477225575,6.978918,17.41,17,13.875
D2583,40,0,1,6,1,1,1,0,0,0,2,5,-0.3125,47.795,16.41640786,9.62485095,19.5295,22,16.53
D2588,18,0,1,4,0,1,0,0,0,0,3,1,0.6875,85.165,10.74596669,5.748203833,6.148333333,11.64444444,5.852222222
D2591,52,0,1,5,3,3,4,0,0,0,6,2,0.541666667,56.43961538,10.74596669,5.340428923,21.96076923,22.33846154,18.30538462
D2594,41,0,2,4,1,3,1,0,0,0,5,2,0.25,70.30292683,3,4.272150024,15.72731707,16.4,13.63902439
D2601,52,1,4,8,0,5,1,0,0,0,5,4,0.309083333,48.305,12.48683298,8.619576596,24.5875,23.10769231,19.44
D2604,12,0,1,3,0,2,0,0,0,0,0,1,-0.125,110.055,3,1.333092667,0.27,4.8,0.89
D2606,10,0,0,3,0,0,0,0,1,0.4375,0,0,0,112.085,8.477225575,4.759872,2.41,8,0.11
D2607,49,28,4,40,1,4,0,0,0,0,4,1,2.104166667,129.4755102,3,3.874860061,19.31469388,19.6,7.373061224
D2608,25,0,2,10,0,3,1,1,0,0,1,4,-1.2,110.396,3,4.1831684,8.026,10,4.072
D2617,44,0,1,4,2,1,0,0,1,0.4375,5,1,1.171875,60.27045455,15.24744871,6.110730977,18.66068182,22.14545455,15.78363636
D2619,23,0,0,11,2,1,0,1,0,0,1,1,0.09375,65.78565217,10.74596669,10.52252765,12.18652174,12.67826087,9.797391304
D2621,9,0,1,3,0,1,0,1,0,0,1,0,0.125,122.5,8.477225575,-2.102043333,-3.323333333,8.044444444,-1.591111111
D2623,16,0,2,4,1,2,1,0,0,0,1,1,-0.178571429,116.57,8.477225575,0.724525375,1.28875,8.9,0.975
D2628,24,4,0,9,1,0,2,1,0,0,4,3,0.020833333,108.45,3,3.545871167,7.055,9.6,4.095
D2631,7,0,2,3,0,0,0,0,0,0,0,0,0,139.3014286,3,2.651867,0.237142857,2.8,-4.431428571
D2634,60,0,0,16,2,0,7,4,0,0,7,6,0.4375,51.465,8.477225575,4.4815482,25.212,24.66666667,20.98666667
D2635,54,11,7,16,0,0,2,8,0,0,9,8,-0.708333333,73.69166667,8.477225575,7.061801278,24.32277778,22.34074074,16.39592593
D2637,9,3,1,4,0,0,0,0,1,-0.083333333,0,0,0,169.5,3,-7.328577556,-7.51,3.6,-8.146666667
D2638,7,0,1,3,0,0,0,0,0,0,0,2,-0.625,151.3871429,3,-3.227984,-4.472857143,2.8,-6.117142857
D2639,8,0,0,3,0,0,0,0,1,-0.375,0,3,-0.75,135.265,3,-0.38969825,-2.1225,3.2,-3.62
D2646,51,0,0,13,2,2,3,4,0,0,6,4,0.932291667,43.92882353,15.24744871,7.253748451,23.00235294,24.32156863,19.80196078
D2649,35,0,1,12,3,3,0,1,0,0,1,3,-1.375,89.12714286,3,2.0013726,11.00742857,14,9.522857143
D2650,18,0,1,5,2,1,0,1,0,0,1,3,-0.65625,118.065,8.477225575,-0.784963944,0.915,9.422222222,1.263333333
D2654,9,0,1,3,0,1,0,0,0,0,1,0,0.125,122.5,3,-2.755360111,-3.846666667,3.6,-1.591111111
D2656,15,0,1,4,2,1,0,0,1,-0.375,1,2,-0.585227273,101.37,10.74596669,1.826214,1.77,11.33333333,2.846666667
D2658,9,0,2,4,0,1,0,0,0,0,1,1,-0.0625,131.9,3,-3.408676889,-4.37,3.6,-2.902222222
D2659,19,2,1,7,1,2,1,0,0,0,2,2,-0.15625,111.8552632,3,3.376182158,4.678947368,7.6,2.377894737
D2660,53,0,5,11,2,9,1,2,0,0,8,5,0.963541667,62.05509434,10.74596669,6.272824755,23.1990566,22.70943396,17.77056604
D2662,13,4,2,7,0,2,0,2,0,0,1,0,0.125,135.0707692,3,5.442655385,3.91,5.2,-2.350769231
D2664,57,2,8,12,5,6,0,4,1,0.25,7,3,1.189583333,64.38,8.477225575,2.144916158,21.86105263,23.50175439,18.44
D2666,8,0,1,3,0,0,0,1,0,0,1,1,-0.375,135.265,3,-4.064605125,-5.06625,3.2,-3.62
D2670,12,0,0,7,0,0,0,0,0,0,0,1,-0.5,46.605,10.74596669,13.58278225,10.0825,11.46666667,9.74
D2676,43,2,4,6,1,2,1,3,0,0,8,6,-0.511166667,68.7527907,8.477225575,6.073338674,18.14325581,18.13023256,14.35209302
D2677,42,1,2,6,1,4,0,3,0,0,6,4,-0.744791667,85.64785714,3,4.074215452,16.055,16.8,11.74714286
D2680,20,0,2,15,0,0,0,0,0,0,1,0,0.032875,89.245,3,10.9431168,11.178,8,5.78
D2681,11,0,1,3,1,0,0,1,0,0,1,1,0,118.7609091,8.477225575,0.218060091,-0.943636364,8.036363636,-0.572727273
D2685,14,0,1,3,0,1,0,0,0,0,0,1,-0.0625,150.325,3,-5.314500429,-4.337142857,5.6,-4.23
D2688,29,0,2,14,1,3,0,1,0,0,4,2,-0.098958333,78.2137931,3,5.481828069,10.93551724,11.6,9.554482759
D2694,17,0,0,6,3,1,0,0,0,0,1,1,0.34375,95.02705882,10.74596669,0.098320765,1.2,11.50588235,4.228235294
D2703,11,0,0,4,1,1,0,0,0,0,1,0,0.59375,126.4518182,8.477225575,-1.920067545,-2.656363636,8.036363636,-1.645454545
D2704,9,0,0,4,1,0,0,0,0,0,1,0,0.59375,131.9,3,-6.021944,-6.463333333,3.6,-2.902222222
D2705,33,0,6,4,1,3,0,4,0,0,2,3,-0.828125,81.04909091,10.74596669,2.545760485,10.48454545,15.62424242,10.15272727
D2706,54,1,4,7,3,6,1,1,0,0,10,4,2.447458333,56.45833333,8.477225575,4.012989648,21.88055556,22.34074074,18.79962963
D2708,16,0,0,5,3,1,0,0,1,-0.125,2,0,0.171875,116.57,8.477225575,1.826997438,2.171875,8.9,0.975
D2709,20,1,8,7,1,0,2,2,0,0,1,3,-0.5625,101.935,8.477225575,0.65337755,2.9355,10,4.01
D2711,9,0,0,3,0,0,0,0,0,0,0,0,0,169.5,3,-2.102043333,-3.323333333,3.6,-8.146666667
D2712,9,1,0,3,0,0,0,0,0,0,1,1,-0.078125,150.7,3,-2.102043333,-3.323333333,3.6,-5.524444444
D2713,18,1,1,6,1,1,0,0,0,0,2,1,-0.3125,108.665,8.477225575,1.174986389,2.485,9.422222222,2.574444444
D2715,9,0,2,3,1,0,0,0,0,0,0,1,-0.416666667,141.3,3,-5.368627222,-5.94,3.6,-4.213333333
D2716,11,0,4,2,2,2,0,0,0,0,0,3,-0.791666667,141.8336364,3,-4.592727091,-4.797272727,4.4,-3.790909091
D2717,7,1,2,3,0,0,0,0,0,0,2,1,0.4375,163.4728571,3,-4.907941429,-5.818571429,2.8,-7.802857143
D2719,75,0,6,19,2,0,4,9,0,0,12,9,1.364583333,25.806,12.48683298,5.285754587,33.2772,31.6,28.292
D2720,24,0,3,5,1,0,1,0,0,0,1,1,-0.354166667,94.35,10.74596669,3.790864958,7.25125,12.93333333,6.061666667
D2723,9,0,3,3,1,0,0,0,0,0,0,0,0,131.9,3,-2.102043333,-3.323333333,3.6,-2.902222222
D2726,31,8,8,13,0,2,1,3,0,0,1,2,-0.203125,109.8732258,3,3.729409806,10.47903226,12.4,5.635483871
D2732,36,3,5,13,3,2,0,0,0,0,5,0,0.885416667,80.995,8.477225575,3.466818028,12.6625,15.51111111,10.90555556
D2739,20,0,3,7,0,1,1,1,0,0,1,4,-0.425,106.165,8.477225575,5.0632658,6.468,10,3.42
D2740,12,0,1,5,0,0,0,0,0,0,0,1,-0.083333333,110.055,3,0.3531175,-0.515,4.8,0.89
D2741,14,7,0,8,0,0,1,0,1,0.4375,2,0,0.3125,156.3678571,3,5.605222857,4.41,5.6,-5.072857143
D2742,20,3,1,13,0,0,0,1,0,0,2,1,0.375,101.935,8.477225575,4.76927325,6.2325,10,4.01
D2744,22,0,1,5,2,0,0,0,0,0,3,2,0.525,92.21409091,3,3.166532182,5.840909091,8.8,5.862727273
D2745,10,0,2,3,0,0,0,0,0,0,0,0,0,137.465,3,-1.119979,-2.3,4,-3.43
D2749,6,0,2,2,0,0,0,0,0,0,0,0,0,172.545,3,-7.012365,-7.44,2.4,-9.316666667
D2750,27,0,1,7,2,2,1,0,0,0,1,1,-0.125,110.4966667,3,-0.128165222,5.502222222,10.8,4.554814815
D2753,13,0,0,5,0,0,1,1,0,0,0,1,-0.125,128.5630769,3,-0.889491846,-1.162307692,5.2,-1.443076923
