Doc,Length,Uppercase(num),Exclamation/Question(num),SpellMiss(num),FirstPronouns(num),SecondPronouns(num),ThirdPronouns(num),BadWord(num),Emot(num),EmotMean(score),SentiPos(num),SentiNeg(num),Senti(score),FRE,SMOG,CLI,ARI,FOG,FKGL
D186,14,0,7,5,0,0,0,0,2,0.0625,0,1,-0.125,144.2821429,3,-4.054532357,-3.327857143,5.6,-3.387142857
D188,13,0,2,3,0,1,0,0,0,0,2,0,0.825,122.0553846,3,1.371989308,0.649230769,5.2,-0.535384615
D193,25,0,3,2,2,1,0,1,0,0,4,3,-0.446291667,96.86,8.477225575,1.36083992,5.7652,11.6,5.96
D194,24,0,3,7,0,1,0,0,0,0,2,1,0.166666667,80.25,12.48683298,5.995809083,9.0175,14.6,8.028333333
D199,12,0,2,3,0,1,0,0,0,0,1,1,0.125,117.105,3,4.273018167,2.625,4.8,-0.093333333
D200,22,1,3,6,1,0,0,0,0,0,4,0,1.645833333,107.5959091,3,1.028404545,4.128181818,8.8,3.717272727
D201,14,1,2,4,0,1,0,0,0,0,3,0,0.470375,120.1107143,3,4.765244143,3.737142857,5.6,-0.015714286
D202,38,1,10,13,0,1,1,1,0,0,5,3,0.791666667,61.40184211,12.48683298,9.725179947,18.64105263,18.35789474,14.13526316
D204,27,3,2,9,0,2,1,0,0,0,3,1,0.05,119.8966667,3,-0.128165222,5.502222222,10.8,3.243703704
D212,15,2,4,4,0,1,0,0,0,0,1,3,-0.494791667,123.93,3,2.218204067,2.084,6,-0.3
D221,15,1,2,4,1,1,0,0,1,0.25,3,1,0.8125,118.29,3,-0.133736333,0.2,6,0.486666667
D227,15,0,2,5,0,2,0,0,0,0,3,0,0.916666667,95.73,8.477225575,6.5300948,5.538,8.666666667,3.633333333
D232,36,0,1,5,1,1,0,0,0,0,4,0,1.478226817,90.395,8.477225575,3.466818028,12.6625,15.51111111,9.594444444
D236,12,0,0,2,1,1,0,0,0,0,0,2,-0.25,138.255,3,-2.096820417,-2.4775,4.8,-3.043333333
D239,41,0,0,14,3,0,1,1,0,0,4,3,-0.375,53.79560976,12.48683298,8.717891024,19.28853659,19.32682927,15.94146341
D244,11,0,0,5,0,0,0,0,1,0.4375,1,0,0,103.3790909,8.477225575,3.959783455,2.053636364,8.036363636,1.572727273
D245,9,0,0,6,1,0,0,0,1,0.4375,0,0,0,84.9,8.477225575,2.471174111,0.34,8.044444444,3.653333333
D246,108,0,5,29,6,2,1,4,0,0,11,10,0.197916667,4.781666667,8.477225575,5.865794824,50.14527778,43.57037037,39.42259259
D247,65,0,6,18,0,2,0,4,0,0,4,9,-2.052083333,41.94307692,3,5.906522385,28.82307692,26,23.55692308
